[Algeria] (25 players)
  Alidu Seidu                    | # 2 | CB   | Rennes
  Caleb Yirenkyi                 | # 3 | CM   | Nordsjælland
  Jonas Adjetey                  | # 4 | CB   | VfL Wolfsburg
  Thomas Partey                  | # 5 | CM   | Villarreal
  Abdul Mumin                    | # 6 | CB   | Rayo Vallecano
  Abdul Fatawu                   | # 7 | ST   | Leicester City
  Kwasi Sibo                     | # 8 | CM   | Oviedo
  Jordan Ayew                    | # 9 | ST   | Leicester City
  Brandon Thomas-Asante          | #10 | ST   | Coventry City
  Joseph Anang                   | #12 | GK   | St Patrick's Athletic
  Christopher Bonsu Baah         | #13 | ST   | Al-Qadsiah
  Gideon Mensah                  | #14 | CB   | Auxerre
  Elisha Owusu                   | #15 | CM   | Auxerre
  Benjamin Asare                 | #16 | GK   | Hearts of Oak
  Abdul Rahman Baba              | #17 | CB   | PAOK
  Jerome Opoku                   | #18 | CB   | İstanbul Başakşehir
  Iñaki Williams                 | #19 | ST   | Athletic Bilbao
  Augustine Boakye               | #20 | CM   | Saint-Étienne
  Kojo Peprah Oppong             | #21 | CB   | Nice
  Kamaldeen Sulemana             | #22 | ST   | Atalanta
  Derrick Luckassen              | #23 | CB   | Pafos
  Ernest Nuamah                  | #24 | ST   | Lyon
  Prince Kwabena Adu             | #25 | ST   | Viktoria Plzeň
  Marvin Senaya                  | #26 | CB   | Auxerre

[Haiti] (25 players)
  Johny Placide                  | # 1 | GK   | Bastia
  Carlens Arcus                  | # 2 | CB   | Angers
  Keeto Thermoncy                | # 3 | CB   | Young Boys
  Ricardo Adé                    | # 4 | CB   | LDU Quito
  Hannes Delcroix                | # 5 | CB   | Lugano
  Carl Sainté                    | # 6 | CM   | El Paso Locomotive FC
  Derrick Etienne Jr.            | # 7 | ST   | Toronto FC
  Martin Expérience              | # 8 | CB   | Nancy
  Duckens Nazon                  | # 9 | ST   | Esteghlal
  Jean-Ricner Bellegarde         | #10 | CM   | Wolverhampton Wanderers
  Louicius Deedson               | #11 | ST   | FC Dallas
  Alexandre Pierre               | #12 | GK   | Sochaux
  Duke Lacroix                   | #13 | CB   | Colorado Springs Switchbacks FC
  Leverton Pierre                | #14 | CM   | Vizela
  Ruben Providence               | #15 | ST   | Almere City
  Lenny Joseph                   | #16 | ST   | Ferencváros
  Danley Jean Jacques            | #17 | CM   | Philadelphia Union
  Yassin Fortuné                 | #19 | ST   | Vizela
  Frantzdy Pierrot               | #20 | ST   | Çaykur Rizespor
  Josué Casimir                  | #21 | ST   | Auxerre
  Jean-Kévin Duverne             | #22 | CB   | Gent
  Josué Duverger                 | #23 | GK   | Cosmos Koblenz
  Wilguens Paugain               | #24 | CB   | Zulte Waregem
  Dominique Simon                | #25 | CM   | Tatran Prešov
  Woodensky Pierre               | #26 | CM   | Violette

[Iran] (26 players)
  Alireza Beiranvand             | # 1 | GK   | Tractor
  Saleh Hardani                  | # 2 | CB   | Esteghlal
  Ehsan Hajsafi                  | # 3 | CB   | Sepahan
  Shojae Khalilzadeh             | # 4 | CB   | Tractor
  Milad Mohammadi                | # 5 | CB   | Persepolis
  Saeid Ezatolahi                | # 6 | CM   | Shabab Al Ahli
  Alireza Jahanbakhsh            | # 7 | CM   | Dender
  Mohammad Mohebi                | # 8 | CM   | Rostov
